QTD;ID_PLANO_CONTA;PLANO_CONTA;TOTAL_MES;ANO;MES;CODIGOSELO;IDCARTORIO;COMARCA
1;6;Assessoria Contábil;2686.5;2025;02;K7;153;19
2;6;Assessoria Contábil;2666.06;2025;12;B7;23;4
2;6;Assessoria Contábil;2666.06;2025;09;B7;23;4
2;6;Assessoria Contábil;2666.06;2025;10;B7;23;4
2;6;Assessoria Contábil;2666.06;2025;11;B7;23;4
1;6;Assessoria Contábil;2656.5;2025;06;K7;153;19
1;6;Assessoria Contábil;2656.5;2025;08;K7;153;19
1;6;Assessoria Contábil;2656.5;2025;03;K7;153;19
1;6;Assessoria Contábil;2656.5;2025;11;K7;153;19
1;6;Assessoria Contábil;2656.5;2025;04;K7;153;19
1;6;Assessoria Contábil;2656.5;2025;05;K7;153;19
3;6;Assessoria Contábil;2655;2025;06;I0;119;20
3;6;Assessoria Contábil;2652.16;2024;03;E9;89;14
1;6;Assessoria Contábil;2650;2024;01;B6;22;4
1;6;Assessoria Contábil;2639.99;2024;01;A1;6;1
2;6;Assessoria Contábil;2596.25;2024;10;B7;23;4
2;6;Assessoria Contábil;2596.25;2024;12;B7;23;4
2;6;Assessoria Contábil;2596.25;2024;11;B7;23;4
2;6;Assessoria Contábil;2596.25;2024;09;B7;23;4
2;6;Assessoria Contábil;2596.25;2025;01;B7;23;4
2;6;Assessoria Contábil;2596.25;2025;04;B7;23;4
2;6;Assessoria Contábil;2596.25;2025;08;B7;23;4
2;6;Assessoria Contábil;2596.25;2025;05;B7;23;4
2;6;Assessoria Contábil;2596.25;2025;03;B7;23;4
2;6;Assessoria Contábil;2596.25;2025;02;B7;23;4
2;6;Assessoria Contábil;2596.25;2025;06;B7;23;4
2;6;Assessoria Contábil;2596.25;2025;07;B7;23;4
1;6;Assessoria Contábil;2587.5;2025;12;E3;67;12
1;6;Assessoria Contábil;2587.5;2025;11;E3;67;12
1;6;Assessoria Contábil;2581.06;2025;12;E5;68;12
1;6;Assessoria Contábil;2580;2025;11;L9;189;9
3;6;Assessoria Contábil;2577.96;2024;06;L4;158;13
3;6;Assessoria Contábil;2577.96;2024;03;L4;158;13
2;6;Assessoria Contábil;2550;2024;02;I2;129;16
3;6;Assessoria Contábil;2540;2025;06;L7;160;20
2;6;Assessoria Contábil;2539.2;2024;02;B7;23;4
2;6;Assessoria Contábil;2539.2;2024;05;B7;23;4
2;6;Assessoria Contábil;2539.2;2024;04;B7;23;4
2;6;Assessoria Contábil;2539.2;2024;03;B7;23;4
2;6;Assessoria Contábil;2539.2;2024;08;B7;23;4
2;6;Assessoria Contábil;2539.2;2024;07;B7;23;4
2;6;Assessoria Contábil;2539.2;2024;06;B7;23;4
2;6;Assessoria Contábil;2539.2;2024;01;B7;23;4
1;6;Assessoria Contábil;2521;2024;10;K7;153;19
1;6;Assessoria Contábil;2500;2025;12;I2;129;16
1;6;Assessoria Contábil;2491;2024;09;K7;153;19
1;6;Assessoria Contábil;2471;2024;05;K7;153;19
1;6;Assessoria Contábil;2471;2024;08;K7;153;19
1;6;Assessoria Contábil;2471;2024;03;K7;153;19
1;6;Assessoria Contábil;2471;2024;06;K7;153;19
1;6;Assessoria Contábil;2471;2024;02;K7;153;19
1;6;Assessoria Contábil;2471;2024;11;K7;153;19
1;6;Assessoria Contábil;2471;2024;07;K7;153;19
1;6;Assessoria Contábil;2471;2024;04;K7;153;19
1;6;Assessoria Contábil;2471;2025;01;K7;153;19
1;6;Assessoria Contábil;2407.5;2024;12;E3;67;12
1;6;Assessoria Contábil;2407.5;2024;11;E3;67;12
1;6;Assessoria Contábil;2401.86;2024;12;E5;68;12
1;6;Assessoria Contábil;2400;2024;11;L9;189;9
2;6;Assessoria Contábil;2386.81;2025;05;L4;158;13
1;6;Assessoria Contábil;2383;2025;06;A8;11;1
1;6;Assessoria Contábil;2383;2025;07;A8;11;1
2;6;Assessoria Contábil;2364;2024;06;A8;11;1
3;6;Assessoria Contábil;2359.8;2024;05;L4;158;13
2;6;Assessoria Contábil;2355;2025;11;C5;34;5
1;6;Assessoria Contábil;2337;2025;02;K4;150;4
2;6;Assessoria Contábil;2317.05;2024;05;D1;69;6
1;6;Assessoria Contábil;2315;2025;11;A8;11;1
1;6;Assessoria Contábil;2315;2025;10;A8;11;1
1;6;Assessoria Contábil;2315;2025;02;A8;11;1
1;6;Assessoria Contábil;2310;2024;01;K7;153;19
2;6;Assessoria Contábil;2302.56;2024;08;L4;158;13
2;6;Assessoria Contábil;2300;2024;04;I2;129;16
2;6;Assessoria Contábil;2290.21;2024;09;L4;158;13
2;6;Assessoria Contábil;2278;2025;09;L0;155;5
2;6;Assessoria Contábil;2278;2025;06;L0;155;5
2;6;Assessoria Contábil;2278;2025;11;L0;155;5
2;6;Assessoria Contábil;2278;2025;08;L0;155;5
2;6;Assessoria Contábil;2278;2025;10;L0;155;5
2;6;Assessoria Contábil;2278;2025;05;L0;155;5
2;6;Assessoria Contábil;2278;2025;04;L0;155;5
1;6;Assessoria Contábil;2277;2025;07;A0;1;1
1;6;Assessoria Contábil;2277;2025;04;A0;1;1
1;6;Assessoria Contábil;2277;2025;08;A0;1;1
1;6;Assessoria Contábil;2277;2025;10;A0;1;1
1;6;Assessoria Contábil;2277;2025;05;A0;1;1
1;6;Assessoria Contábil;2277;2025;03;A0;1;1
1;6;Assessoria Contábil;2277;2025;11;D9;82;11
1;6;Assessoria Contábil;2277;2025;10;D9;82;11
1;6;Assessoria Contábil;2277;2025;04;D9;82;11
1;6;Assessoria Contábil;2277;2025;06;D9;82;11
1;6;Assessoria Contábil;2277;2025;07;D9;82;11
1;6;Assessoria Contábil;2277;2025;03;D9;82;11
1;6;Assessoria Contábil;2277;2025;08;D9;82;11
1;6;Assessoria Contábil;2277;2025;02;D9;82;11
1;6;Assessoria Contábil;2277;2025;05;D9;82;11
1;6;Assessoria Contábil;2277;2025;09;D9;82;11
1;6;Assessoria Contábil;2277;2025;01;D9;82;11
1;6;Assessoria Contábil;2277;2025;12;D9;82;11
1;6;Assessoria Contábil;2277;2025;07;K4;150;4
1;6;Assessoria Contábil;2277;2025;03;K4;150;4
1;6;Assessoria Contábil;2277;2025;10;K4;150;4
1;6;Assessoria Contábil;2277;2025;04;K4;150;4
1;6;Assessoria Contábil;2277;2025;08;K4;150;4
1;6;Assessoria Contábil;2277;2025;11;K4;150;4
1;6;Assessoria Contábil;2277;2025;05;K4;150;4
1;6;Assessoria Contábil;2277;2025;09;K4;150;4
1;6;Assessoria Contábil;2277;2025;06;K4;150;4
2;6;Assessoria Contábil;2275;2024;07;I0;119;20
1;6;Assessoria Contábil;2268;2025;11;B1;62;1
1;6;Assessoria Contábil;2256;2025;12;F1;92;14
2;6;Assessoria Contábil;2246.25;2024;11;C5;34;5
2;6;Assessoria Contábil;2220;2024;01;J0;116;21
2;6;Assessoria Contábil;2218;2025;06;F8;102;15
2;6;Assessoria Contábil;2210;2024;12;D6;79;11
1;6;Assessoria Contábil;2200;2024;08;G8;110;19
1;6;Assessoria Contábil;2200;2024;03;G8;110;19
1;6;Assessoria Contábil;2200;2024;11;G8;110;19
1;6;Assessoria Contábil;2200;2024;04;G8;110;19
